catalogue: 625000 sessions, 125000 profiles, 187500 counters, 18750 feeds, 31250 tag sets, 125 boards
connections 50, pipeline 16, measured 60.036s after 10s of warm-up
throughput: 132492 operations/s, 135145 commands/s; error replies: 0
latency in µs, per operation (from its pipeline's write to its last reply):
operation  weight  count  p50  p99  p99.9  max
GET  40  3179971  4479  86015  112639  121084
HGET  15  1192611  4479  86015  110591  121084
HGETALL  5  397145  4479  86015  112639  121084
LRANGE  10  794874  4479  86015  112639  121084
SISMEMBER  5  398402  4479  86015  112639  121084
ZREVRANGE  5  397632  4479  86015  112639  120911
SET  8  638149  4479  86015  112639  121084
HSET  4  318175  4479  86015  112639  120594
INCR  4  318867  4479  86015  112639  120594
LPUSH  2  159274  4479  86015  112639  119504
ZINCRBY  2  159204  4479  86015  110591  119625
ALL  100  7954304  4479  86015  112639  121084
Uncaught Kotlin exception: kotlin.IllegalStateException: cannot open kesh-b17/redis-p16-r2.raw
    at 0   kesh-load.kexe                      0x346cbb           kfun:io.github.youndie.kesh.bench.load.run$1.$invokeCOROUTINE$3.invokeSuspend#internal + 24139 
    at 1   kesh-load.kexe                      0x25b5ff           kfun:kotlin.coroutines.native.internal.BaseContinuationImpl#resumeWith(kotlin.Result<kotlin.Any?>){} + 223 
    at 2   kesh-load.kexe                      0x2fcfc0           kfun:kotlinx.coroutines.DispatchedTask#run(){} + 736 
    at 3   kesh-load.kexe                      0x2dce49           kfun:kotlinx.coroutines.EventLoopImplBase#processNextEvent(){}kotlin.Long-impl + 1001 
    at 4   kesh-load.kexe                      0x30293e           kfun:kotlinx.coroutines#runBlocking(kotlin.coroutines.CoroutineContext;kotlin.coroutines.SuspendFunction1<kotlinx.coroutines.CoroutineScope,0:0>){0§<kotlin.Any?>}0:0 + 1134 
    at 5   kesh-load.kexe                      0x33b08f           kfun:io.github.youndie.kesh.bench.load#main(kotlin.Array<kotlin.String>){} + 4687 
    at 6   kesh-load.kexe                      0x35828f           Init_and_run_start + 639 
    at 7   kesh-load.kexe                      0x35838a           Konan_main + 10 
    at 8   libc.so.6                           0x7b996482a600     0x0 + 135898746496512 
    at 9   libc.so.6                           0x7b996482a717     __libc_start_main + 135 
    at 10  kesh-load.kexe                      0x252378           0x0 + 2433912 
