catalogue: 625000 sessions, 125000 profiles, 187500 counters, 18750 feeds, 31250 tag sets, 125 boards
connections 50, pipeline 16, measured 60.006s after 10s of warm-up
throughput: 135676 operations/s, 138392 commands/s; error replies: 0
latency in µs, per operation (from its pipeline's write to its last reply):
operation  weight  count  p50  p99  p99.9  max
GET  40  3254560  4351  83967  110591  161430
HGET  15  1220497  4351  83967  110591  161430
HGETALL  5  406526  4351  83967  110591  161163
LRANGE  10  813771  4351  83967  110591  161430
SISMEMBER  5  407643  4351  81919  110591  160652
ZREVRANGE  5  406990  4351  81919  110591  161163
SET  8  653171  4351  83967  110591  161430
HSET  4  325801  4351  81919  110591  161430
INCR  4  326500  4351  83967  110591  161430
LPUSH  2  162982  4351  81919  108543  161430
ZINCRBY  2  162967  4351  81919  110591  161430
ALL  100  8141408  4351  83967  110591  161430
Uncaught Kotlin exception: kotlin.IllegalStateException: cannot open kesh-b17/redis-p16-r1.raw
    at 0   kesh-load.kexe                      0x346cbb           kfun:io.github.youndie.kesh.bench.load.run$1.$invokeCOROUTINE$3.invokeSuspend#internal + 24139 
    at 1   kesh-load.kexe                      0x25b5ff           kfun:kotlin.coroutines.native.internal.BaseContinuationImpl#resumeWith(kotlin.Result<kotlin.Any?>){} + 223 
    at 2   kesh-load.kexe                      0x2fcfc0           kfun:kotlinx.coroutines.DispatchedTask#run(){} + 736 
    at 3   kesh-load.kexe                      0x2dce49           kfun:kotlinx.coroutines.EventLoopImplBase#processNextEvent(){}kotlin.Long-impl + 1001 
    at 4   kesh-load.kexe                      0x30293e           kfun:kotlinx.coroutines#runBlocking(kotlin.coroutines.CoroutineContext;kotlin.coroutines.SuspendFunction1<kotlinx.coroutines.CoroutineScope,0:0>){0§<kotlin.Any?>}0:0 + 1134 
    at 5   kesh-load.kexe                      0x33b08f           kfun:io.github.youndie.kesh.bench.load#main(kotlin.Array<kotlin.String>){} + 4687 
    at 6   kesh-load.kexe                      0x35828f           Init_and_run_start + 639 
    at 7   kesh-load.kexe                      0x35838a           Konan_main + 10 
    at 8   libc.so.6                           0x7f7962c2a600     0x0 + 140159324694016 
    at 9   libc.so.6                           0x7f7962c2a717     __libc_start_main + 135 
    at 10  kesh-load.kexe                      0x252378           0x0 + 2433912 
